ID;DAY;MONTH;YEAR;WEEKDAY;WEEKNUM;WEEKEND_YN;HOUR;MINUTE;BIOMASS_PROD_PLANNED;HYDROPOWER_PROD_PLANNED;WIND_OFFSHORE_PROD_PLANNED;WIND_ONSHORE_PROD_PLANNED;PHOTOVOLTAICS_PROD_PLANNED;OTHER_RENEWABLE_PROD_PLANNED;NUCLEAR_PROD_PLANNED;BROWN_COAL_PROD_PLANNED;BLACK_COAL_PROD_PLANNED;NAT_GAS_PROD_PLANNED;PUMP_STORAGE_PROD_PLANNED;OTHER_CONVENTIONAL_PROD_PLANNED;EN_PROD_PLANNED
2371e2cf-3983-11eb-818d-f48c50351e47;3;8;2020;1;32;"0";6;45;1093;524;254;754;321;30;1911;2986;598;1295;68;405;10239
23a32e48-3983-11eb-b01e-f48c50351e47;3;8;2020;1;32;"0";7;0;1098;533;251;756;483;32;1911;3043;593;1301;14;405;10420
23932003-3983-11eb-9671-f48c50351e47;3;8;2020;1;32;"0";7;15;1098;532;266;722;657;33;1911;3055;581;1331;17;407;10610
23c0a114-3983-11eb-8082-f48c50351e47;3;8;2020;1;32;"0";7;30;1098;524;261;680;853;33;1911;3053;571;1374;16;400;10774
2371e2d0-3983-11eb-99d2-f48c50351e47;3;8;2020;1;32;"0";7;45;1099;520;249;635;1074;33;1911;3051;571;1376;33;393;10945
23a32e49-3983-11eb-b12d-f48c50351e47;3;8;2020;1;32;"0";8;0;1100;527;261;582;1312;33;1910;3032;582;1323;39;393;11094
23932004-3983-11eb-80e2-f48c50351e47;3;8;2020;1;32;"0";8;15;1097;519;273;533;1574;33;1910;3020;575;1312;15;392;11253
23c0c8f6-3983-11eb-b1d8-f48c50351e47;3;8;2020;1;32;"0";8;30;1098;521;282;482;1851;33;1910;3018;572;1317;16;388;11488
2371e2d1-3983-11eb-b2f3-f48c50351e47;3;8;2020;1;32;"0";9;15;1092;537;245;433;2623;33;1909;3022;589;1402;70;389;12344
23a32e4a-3983-11eb-b418-f48c50351e47;3;8;2020;1;32;"0";9;30;1093;533;233;425;2833;33;1908;3028;583;1402;89;391;12551
2371e2d2-3983-11eb-aa58-f48c50351e47;3;8;2020;1;32;"0";9;45;1097;533;232;402;3022;33;1910;3033;539;1399;130;391;12721
23a32e4b-3983-11eb-b149-f48c50351e47;3;8;2020;1;32;"0";10;0;1099;551;228;395;3203;33;1909;3034;447;1399;297;392;12987
23932005-3983-11eb-b085-f48c50351e47;3;8;2020;1;32;"0";10;15;1096;529;234;379;3381;33;1909;3018;471;1400;308;395;13153
23c0c8f7-3983-11eb-99a1-f48c50351e47;3;8;2020;1;32;"0";10;30;1097;522;225;383;3532;33;1909;3016;483;1401;270;398;13269
2371e2d3-3983-11eb-93d3-f48c50351e47;3;8;2020;1;32;"0";10;45;1095;518;226;381;3719;33;1909;3034;488;1402;180;400;13385
23932006-3983-11eb-8e99-f48c50351e47;3;8;2020;1;32;"0";11;0;1095;518;225;388;3853;33;1908;3062;509;1388;292;398;13669
23c0c8f8-3983-11eb-95c2-f48c50351e47;3;8;2020;1;32;"0";11;15;1092;517;204;409;4011;33;1907;3069;508;1379;163;396;13688
23a32e4c-3983-11eb-952d-f48c50351e47;3;8;2020;1;32;"0";11;30;1090;517;180;427;4098;33;1906;3034;505;1385;142;393;13710
2371e2d4-3983-11eb-8ec8-f48c50351e47;3;8;2020;1;32;"0";11;45;1091;516;159;450;4235;33;1906;2953;487;1386;160;386;13762
23932007-3983-11eb-ab6c-f48c50351e47;3;8;2020;1;32;"0";15;30;1081;499;92;1321;4232;30;1897;2420;413;1327;1;385;13698
23c0c8f9-3983-11eb-93bc-f48c50351e47;3;8;2020;1;32;"0";17;30;1090;526;152;1441;2616;30;1896;2693;418;1312;95;386;12655
23a32e4d-3983-11eb-b81c-f48c50351e47;3;8;2020;1;32;"0";17;45;1089;527;154;1394;2358;30;1897;2787;430;1316;240;387;12609
